name,industry,headquarters,revenue,profit,employees
Walmart,Retail,United States,680985.0,19436.0,2100000.0
Amazon,Retailinformation technology,,637959.0,59248.0,1556000.0
State Grid Corporation of China,Electricity,China,545948.0,9204.0,1361423.0
Saudi Aramco,Oil and gas,Saudi Arabia,480446.0,106246.0,73311.0
China Petrochemical Corporation,"$429,700",,9393.0,513434.0,
China National Petroleum Corporation,"$476,000",[8],25250.0,1026301.0,
UnitedHealth Group,Healthcare,United States,400278.0,14405.0,400000.0
Apple,Information technology,United States,391035.0,93736.0,164000.0
Berkshire Hathaway,Financials,,371433.0,88995.0,392400.0
CVS Health,Healthcare,,357776.0,8344.0,259500.0
Alphabet,Information technology,,350018.0,100118.0,183323.0
Volkswagen Group,Automotive,Germany,348408.0,17945.0,684025.0
ExxonMobil,Oil and gas,United States,344582.0,36010.0,61500.0
Vitol,Commodities,Switzerland,331000.0,13000.0,1560.0
Shell,Oil and gas,United Kingdom,323183.0,19359.0,103000.0
China State Construction Engineering,Construction,China,320431.0,4272.0,382894.0
Toyota,Automotive,Japan,312018.0,34214.0,380793.0
McKesson,Healthcare,United States,308951.0,3002.0,48000.0
Cencora,Healthcare,,262173.0,1745.0,44000.0
Microsoft,Information technology,,245122.0,88136.0,228000.0
Trafigura,Commodities,Singapore,244280.0,7393.0,12479.0
Costco,Retail,United States,242290.0,6292.0,316000.0
JPMorgan Chase,Financials,,239425.0,49552.0,309926.0
Industrial and Commercial Bank of China,"$222,484",,51417.0,419252.0,
TotalEnergies,Oil and gas,France,218945.0,21384.0,102579.0
Glencore,Commodities,Switzerland,217829.0,4280.0,83426.0
BP,Oil and gas,United Kingdom,213032.0,15239.0,79400.0
Cardinal Health,Healthcare,United States,205012.0,261.0,47520.0
Stellantis,Automotive,Netherlands,204908.0,20103.0,258275.0
Chevron,Oil and gas,United States,200949.0,21369.0,45600.0
China Construction Bank,Financials,China,199826.0,46990.0,376871.0
Samsung Electronics,Electronics,South Korea,198257.0,11082.0,267860.0
Foxconn,"$197,876",,4563.0,621393.0,
Cigna,Healthcare,United States,195265.0,5164.0,71413.0
Agricultural Bank of China,Financials,China,192398.0,38049.0,451003.0
Schwarz Gruppe,Retail,Germany,180576.0,16988.0,575000.0
China Railway Engineering Corporation,Construction,China,178563.0,2152.0,314149.0
Cargill,Conglomerate,United States,177000.0,17641.0,160000.0
Ford Motor Company,Automotive,,176191.0,4347.0,177000.0
Bank of China,Financials,China,172328.0,32758.0,306931.0
Bank of America,"$171,912",,26515.0,212985.0,
General Motors,Automotive,,171842.0,10127.0,163000.0
Elevance Health,Healthcare,,171340.0,5987.0,104900.0
BMW Group,Automotive,Germany,168103.0,12205.0,154950.0
Tata Group,Conglomerate,India,165500.0,12205.0,1028000.0
Mercedes-Benz Group,Automotive,Germany,165638.0,15417.0,166056.0
China Railway Construction Corporation,Construction,China,160847.0,1701.0,336433.0
Baowu,Steel,China,157216.0,2494.0,258697.0
Citigroup,Financials,United States,156820.0,9228.0,237925.0
Enel,Energy,Italy,147100.0,3400.0,61060.0
